Wyszukiwarka Google – zainteresowania: praca
Polska; 2004 – dziś

Zainteresowanie w ujęciu czasowym
Tydzień,praca
2005-10-09 - 2005-10-15,59
2005-10-16 - 2005-10-22,57
2005-10-23 - 2005-10-29,55
2005-10-30 - 2005-11-05,56
2005-11-06 - 2005-11-12,54
2005-11-13 - 2005-11-19,57
2005-11-20 - 2005-11-26,53
2005-11-27 - 2005-12-03,52
2005-12-04 - 2005-12-10,49
2005-12-11 - 2005-12-17,41
2005-12-18 - 2005-12-24,33
2005-12-25 - 2005-12-31,46
2006-01-01 - 2006-01-07,68
2006-01-08 - 2006-01-14,64
2006-01-15 - 2006-01-21,60
2006-01-22 - 2006-01-28,56
2006-01-29 - 2006-02-04,64
2006-02-05 - 2006-02-11,66
2006-02-12 - 2006-02-18,60
2006-02-19 - 2006-02-25,66
2006-02-26 - 2006-03-04,66
2006-03-05 - 2006-03-11,66
2006-03-12 - 2006-03-18,70
2006-03-19 - 2006-03-25,63
2006-03-26 - 2006-04-01,64
2006-04-02 - 2006-04-08,63
2006-04-09 - 2006-04-15,53
2006-04-16 - 2006-04-22,62
2006-04-23 - 2006-04-29,60
2006-04-30 - 2006-05-06,59
2006-05-07 - 2006-05-13,65
2006-05-14 - 2006-05-20,69
2006-05-21 - 2006-05-27,68
2006-05-28 - 2006-06-03,68
2006-06-04 - 2006-06-10,67
2006-06-11 - 2006-06-17,72
2006-06-18 - 2006-06-24,83
2006-06-25 - 2006-07-01,94
2006-07-02 - 2006-07-08,87
2006-07-09 - 2006-07-15,74
2006-07-16 - 2006-07-22,88
2006-07-23 - 2006-07-29,71
2006-07-30 - 2006-08-05,72
2006-08-06 - 2006-08-12,76
2006-08-13 - 2006-08-19,65
2006-08-20 - 2006-08-26,69
2006-08-27 - 2006-09-02,72
2006-09-03 - 2006-09-09,70
2006-09-10 - 2006-09-16,67
2006-09-17 - 2006-09-23,69
2006-09-24 - 2006-09-30,67
2006-10-01 - 2006-10-07,70
2006-10-08 - 2006-10-14,67
2006-10-15 - 2006-10-21,67
2006-10-22 - 2006-10-28,63
2006-10-29 - 2006-11-04,61
2006-11-05 - 2006-11-11,60
2006-11-12 - 2006-11-18,57
2006-11-19 - 2006-11-25,58
2006-11-26 - 2006-12-02,55
2006-12-03 - 2006-12-09,50
2006-12-10 - 2006-12-16,45
2006-12-17 - 2006-12-23,38
2006-12-24 - 2006-12-30,47
2006-12-31 - 2007-01-06,68
2007-01-07 - 2007-01-13,63
2007-01-14 - 2007-01-20,67
2007-01-21 - 2007-01-27,62
2007-01-28 - 2007-02-03,69
2007-02-04 - 2007-02-10,64
2007-02-11 - 2007-02-17,62
2007-02-18 - 2007-02-24,70
2007-02-25 - 2007-03-03,68
2007-03-04 - 2007-03-10,66
2007-03-11 - 2007-03-17,64
2007-03-18 - 2007-03-24,64
2007-03-25 - 2007-03-31,60
2007-04-01 - 2007-04-07,53
2007-04-08 - 2007-04-14,60
2007-04-15 - 2007-04-21,69
2007-04-22 - 2007-04-28,60
2007-04-29 - 2007-05-05,65
2007-05-06 - 2007-05-12,73
2007-05-13 - 2007-05-19,68
2007-05-20 - 2007-05-26,73
2007-05-27 - 2007-06-02,75
2007-06-03 - 2007-06-09,72
2007-06-10 - 2007-06-16,81
2007-06-17 - 2007-06-23,87
2007-06-24 - 2007-06-30,93
2007-07-01 - 2007-07-07,95
2007-07-08 - 2007-07-14,82
2007-07-15 - 2007-07-21,76
2007-07-22 - 2007-07-28,80
2007-07-29 - 2007-08-04,74
2007-08-05 - 2007-08-11,72
2007-08-12 - 2007-08-18,64
2007-08-19 - 2007-08-25,73
2007-08-26 - 2007-09-01,73
2007-09-02 - 2007-09-08,72
2007-09-09 - 2007-09-15,68
2007-09-16 - 2007-09-22,69
2007-09-23 - 2007-09-29,70
2007-09-30 - 2007-10-06,73
2007-10-07 - 2007-10-13,72
2007-10-14 - 2007-10-20,69
2007-10-21 - 2007-10-27,66
2007-10-28 - 2007-11-03,58
2007-11-04 - 2007-11-10,67
2007-11-11 - 2007-11-17,62
2007-11-18 - 2007-11-24,63
2007-11-25 - 2007-12-01,61
2007-12-02 - 2007-12-08,54
2007-12-09 - 2007-12-15,54
2007-12-16 - 2007-12-22,47
2007-12-23 - 2007-12-29,43
2007-12-30 - 2008-01-05,69
2008-01-06 - 2008-01-12,74
2008-01-13 - 2008-01-19,68
2008-01-20 - 2008-01-26,71
2008-01-27 - 2008-02-02,73
2008-02-03 - 2008-02-09,71
2008-02-10 - 2008-02-16,66
2008-02-17 - 2008-02-23,70
2008-02-24 - 2008-03-01,70
2008-03-02 - 2008-03-08,67
2008-03-09 - 2008-03-15,62
2008-03-16 - 2008-03-22,56
2008-03-23 - 2008-03-29,61
2008-03-30 - 2008-04-05,66
2008-04-06 - 2008-04-12,63
2008-04-13 - 2008-04-19,61
2008-04-20 - 2008-04-26,61
2008-04-27 - 2008-05-03,54
2008-05-04 - 2008-05-10,67
2008-05-11 - 2008-05-17,63
2008-05-18 - 2008-05-24,64
2008-05-25 - 2008-05-31,72
2008-06-01 - 2008-06-07,74
2008-06-08 - 2008-06-14,73
2008-06-15 - 2008-06-21,84
2008-06-22 - 2008-06-28,88
2008-06-29 - 2008-07-05,91
2008-07-06 - 2008-07-12,85
2008-07-13 - 2008-07-19,80
2008-07-20 - 2008-07-26,76
2008-07-27 - 2008-08-02,69
2008-08-03 - 2008-08-09,73
2008-08-10 - 2008-08-16,64
2008-08-17 - 2008-08-23,71
2008-08-24 - 2008-08-30,77
2008-08-31 - 2008-09-06,79
2008-09-07 - 2008-09-13,70
2008-09-14 - 2008-09-20,74
2008-09-21 - 2008-09-27,73
2008-09-28 - 2008-10-04,80
2008-10-05 - 2008-10-11,75
2008-10-12 - 2008-10-18,79
2008-10-19 - 2008-10-25,75
2008-10-26 - 2008-11-01,74
2008-11-02 - 2008-11-08,70
2008-11-09 - 2008-11-15,65
2008-11-16 - 2008-11-22,72
2008-11-23 - 2008-11-29,72
2008-11-30 - 2008-12-06,68
2008-12-07 - 2008-12-13,63
2008-12-14 - 2008-12-20,57
2008-12-21 - 2008-12-27,33
2008-12-28 - 2009-01-03,55
2009-01-04 - 2009-01-10,89
2009-01-11 - 2009-01-17,86
2009-01-18 - 2009-01-24,85
2009-01-25 - 2009-01-31,85
2009-02-01 - 2009-02-07,85
2009-02-08 - 2009-02-14,82
2009-02-15 - 2009-02-21,89
2009-02-22 - 2009-02-28,91
2009-03-01 - 2009-03-07,88
2009-03-08 - 2009-03-14,83
2009-03-15 - 2009-03-21,82
2009-03-22 - 2009-03-28,81
2009-03-29 - 2009-04-04,81
2009-04-05 - 2009-04-11,69
2009-04-12 - 2009-04-18,75
2009-04-19 - 2009-04-25,78
2009-04-26 - 2009-05-02,72
2009-05-03 - 2009-05-09,80
2009-05-10 - 2009-05-16,80
2009-05-17 - 2009-05-23,81
2009-05-24 - 2009-05-30,86
2009-05-31 - 2009-06-06,87
2009-06-07 - 2009-06-13,82
2009-06-14 - 2009-06-20,96
2009-06-21 - 2009-06-27,99
2009-06-28 - 2009-07-04,100
2009-07-05 - 2009-07-11,96
2009-07-12 - 2009-07-18,90
2009-07-19 - 2009-07-25,89
2009-07-26 - 2009-08-01,86
2009-08-02 - 2009-08-08,87
2009-08-09 - 2009-08-15,79
2009-08-16 - 2009-08-22,85
2009-08-23 - 2009-08-29,84
2009-08-30 - 2009-09-05,89
2009-09-06 - 2009-09-12,88
2009-09-13 - 2009-09-19,87
2009-09-20 - 2009-09-26,85
2009-09-27 - 2009-10-03,85
2009-10-04 - 2009-10-10,88
2009-10-11 - 2009-10-17,85
2009-10-18 - 2009-10-24,85
2009-10-25 - 2009-10-31,79
2009-11-01 - 2009-11-07,86
2009-11-08 - 2009-11-14,78
2009-11-15 - 2009-11-21,80
2009-11-22 - 2009-11-28,76
2009-11-29 - 2009-12-05,71
2009-12-06 - 2009-12-12,66
2009-12-13 - 2009-12-19,57
2009-12-20 - 2009-12-26,37
2009-12-27 - 2010-01-02,55
2010-01-03 - 2010-01-09,91
2010-01-10 - 2010-01-16,83
2010-01-17 - 2010-01-23,82
2010-01-24 - 2010-01-30,81
2010-01-31 - 2010-02-06,81
2010-02-07 - 2010-02-13,82
2010-02-14 - 2010-02-20,81
2010-02-21 - 2010-02-27,82
2010-02-28 - 2010-03-06,81
2010-03-07 - 2010-03-13,78
2010-03-14 - 2010-03-20,80
2010-03-21 - 2010-03-27,75
2010-03-28 - 2010-04-03,63
2010-04-04 - 2010-04-10,69
2010-04-11 - 2010-04-17,64
2010-04-18 - 2010-04-24,72
2010-04-25 - 2010-05-01,67
2010-05-02 - 2010-05-08,68
2010-05-09 - 2010-05-15,73
2010-05-16 - 2010-05-22,71
2010-05-23 - 2010-05-29,72
2010-05-30 - 2010-06-05,68
2010-06-06 - 2010-06-12,74
2010-06-13 - 2010-06-19,77
2010-06-20 - 2010-06-26,83
2010-06-27 - 2010-07-03,84
2010-07-04 - 2010-07-10,80
2010-07-11 - 2010-07-17,70
2010-07-18 - 2010-07-24,75
2010-07-25 - 2010-07-31,71
2010-08-01 - 2010-08-07,72
2010-08-08 - 2010-08-14,67
2010-08-15 - 2010-08-21,68
2010-08-22 - 2010-08-28,73
2010-08-29 - 2010-09-04,73
2010-09-05 - 2010-09-11,69
2010-09-12 - 2010-09-18,61
2010-09-19 - 2010-09-25,62
2010-09-26 - 2010-10-02,66
2010-10-03 - 2010-10-09,66
2010-10-10 - 2010-10-16,62
2010-10-17 - 2010-10-23,61
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,59
2010-11-07 - 2010-11-13,56
2010-11-14 - 2010-11-20,59
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,50
2010-12-05 - 2010-12-11,51
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,33
2010-12-26 - 2011-01-01,42
2011-01-02 - 2011-01-08,78
2011-01-09 - 2011-01-15,79
2011-01-16 - 2011-01-22,76
2011-01-23 - 2011-01-29,77
2011-01-30 - 2011-02-05,78
2011-02-06 - 2011-02-12,76
2011-02-13 - 2011-02-19,79
2011-02-20 - 2011-02-26,80
2011-02-27 - 2011-03-05,80
2011-03-06 - 2011-03-12,72
2011-03-13 - 2011-03-19,76
2011-03-20 - 2011-03-26,75
2011-03-27 - 2011-04-02,77
2011-04-03 - 2011-04-09,73
2011-04-10 - 2011-04-16,72
2011-04-17 - 2011-04-23,61
2011-04-24 - 2011-04-30,64
2011-05-01 - 2011-05-07,65
2011-05-08 - 2011-05-14,72
2011-05-15 - 2011-05-21,70
2011-05-22 - 2011-05-28,72
2011-05-29 - 2011-06-04,75
2011-06-05 - 2011-06-11,73
2011-06-12 - 2011-06-18,75
2011-06-19 - 2011-06-25,77
2011-06-26 - 2011-07-02,80
2011-07-03 - 2011-07-09,80
2011-07-10 - 2011-07-16,73
2011-07-17 - 2011-07-23,70
2011-07-24 - 2011-07-30,71
2011-07-31 - 2011-08-06,69
2011-08-07 - 2011-08-13,66
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,67
2011-08-28 - 2011-09-03,71
2011-09-04 - 2011-09-10,70
2011-09-11 - 2011-09-17,68
2011-09-18 - 2011-09-24,69
2011-09-25 - 2011-10-01,66
2011-10-02 - 2011-10-08,72
2011-10-09 - 2011-10-15,68
2011-10-16 - 2011-10-22,66
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,61
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,69
2011-11-20 - 2011-11-26,66
2011-11-27 - 2011-12-03,63
2011-12-04 - 2011-12-10,60
2011-12-11 - 2011-12-17,55
2011-12-18 - 2011-12-24,43
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,68
2012-01-08 - 2012-01-14,76
2012-01-15 - 2012-01-21,73
2012-01-22 - 2012-01-28,69
2012-01-29 - 2012-02-04,70
2012-02-05 - 2012-02-11,72
2012-02-12 - 2012-02-18,67
2012-02-19 - 2012-02-25,72
2012-02-26 - 2012-03-03,73
2012-03-04 - 2012-03-10,70
2012-03-11 - 2012-03-17,67
2012-03-18 - 2012-03-24,67
2012-03-25 - 2012-03-31,64
2012-04-01 - 2012-04-07,57
2012-04-08 - 2012-04-14,63
2012-04-15 - 2012-04-21,67
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,50
2012-05-06 - 2012-05-12,67
2012-05-13 - 2012-05-19,65
2012-05-20 - 2012-05-26,69
2012-05-27 - 2012-06-02,69
2012-06-03 - 2012-06-09,61
2012-06-10 - 2012-06-16,68
2012-06-17 - 2012-06-23,71
2012-06-24 - 2012-06-30,75
2012-07-01 - 2012-07-07,76
2012-07-08 - 2012-07-14,74
2012-07-15 - 2012-07-21,72
2012-07-22 - 2012-07-28,68
2012-07-29 - 2012-08-04,67
2012-08-05 - 2012-08-11,64
2012-08-12 - 2012-08-18,57
2012-08-19 - 2012-08-25,66
2012-08-26 - 2012-09-01,67
2012-09-02 - 2012-09-08,69
2012-09-09 - 2012-09-15,63
2012-09-16 - 2012-09-22,64
2012-09-23 - 2012-09-29,62
2012-09-30 - 2012-10-06,67
2012-10-07 - 2012-10-13,63
2012-10-14 - 2012-10-20,62
2012-10-21 - 2012-10-27,61
2012-10-28 - 2012-11-03,52
2012-11-04 - 2012-11-10,63
2012-11-11 - 2012-11-17,60
2012-11-18 - 2012-11-24,61
2012-11-25 - 2012-12-01,57
2012-12-02 - 2012-12-08,54
2012-12-09 - 2012-12-15,49
2012-12-16 - 2012-12-22,42
2012-12-23 - 2012-12-29,38
2012-12-30 - 2013-01-05,60
2013-01-06 - 2013-01-12,66
2013-01-13 - 2013-01-19,65
2013-01-20 - 2013-01-26,65
2013-01-27 - 2013-02-02,66
2013-02-03 - 2013-02-09,66
2013-02-10 - 2013-02-16,64
2013-02-17 - 2013-02-23,67
2013-02-24 - 2013-03-02,67
2013-03-03 - 2013-03-09,65
2013-03-10 - 2013-03-16,62
2013-03-17 - 2013-03-23,62
2013-03-24 - 2013-03-30,54
2013-03-31 - 2013-04-06,60
2013-04-07 - 2013-04-13,60
2013-04-14 - 2013-04-20,60
2013-04-21 - 2013-04-27,59
2013-04-28 - 2013-05-04,49
2013-05-05 - 2013-05-11,60
2013-05-12 - 2013-05-18,58
2013-05-19 - 2013-05-25,60
2013-05-26 - 2013-06-01,58
2013-06-02 - 2013-06-08,63
2013-06-09 - 2013-06-15,59
2013-06-16 - 2013-06-22,62
2013-06-23 - 2013-06-29,67
2013-06-30 - 2013-07-06,69
2013-07-07 - 2013-07-13,63
2013-07-14 - 2013-07-20,63
2013-07-21 - 2013-07-27,57
2013-07-28 - 2013-08-03,56
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,52
2013-08-18 - 2013-08-24,59
2013-08-25 - 2013-08-31,58
2013-09-01 - 2013-09-07,59
2013-09-08 - 2013-09-14,57
2013-09-15 - 2013-09-21,57
2013-09-22 - 2013-09-28,56
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,57
2013-10-13 - 2013-10-19,55
2013-10-20 - 2013-10-26,57
2013-10-27 - 2013-11-02,52
2013-11-03 - 2013-11-09,58
2013-11-10 - 2013-11-16,50
2013-11-17 - 2013-11-23,53
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,46
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,59
2014-01-12 - 2014-01-18,56
2014-01-19 - 2014-01-25,55
2014-01-26 - 2014-02-01,57
2014-02-02 - 2014-02-08,58
2014-02-09 - 2014-02-15,55
2014-02-16 - 2014-02-22,60
2014-02-23 - 2014-03-01,58
2014-03-02 - 2014-03-08,54
2014-03-09 - 2014-03-15,53
2014-03-16 - 2014-03-22,52
2014-03-23 - 2014-03-29,52
2014-03-30 - 2014-04-05,53
2014-04-06 - 2014-04-12,50
2014-04-13 - 2014-04-19,43
2014-04-20 - 2014-04-26,49
2014-04-27 - 2014-05-03,46
2014-05-04 - 2014-05-10,54
2014-05-11 - 2014-05-17,51
2014-05-18 - 2014-05-24,52
2014-05-25 - 2014-05-31,53
2014-06-01 - 2014-06-07,55
2014-06-08 - 2014-06-14,51
2014-06-15 - 2014-06-21,53
2014-06-22 - 2014-06-28,58
2014-06-29 - 2014-07-05,60
2014-07-06 - 2014-07-12,55
2014-07-13 - 2014-07-19,56
2014-07-20 - 2014-07-26,55
2014-07-27 - 2014-08-02,54
2014-08-03 - 2014-08-09,52
2014-08-10 - 2014-08-16,50
2014-08-17 - 2014-08-23,55
2014-08-24 - 2014-08-30,52
2014-08-31 - 2014-09-06,55
2014-09-07 - 2014-09-13,55
2014-09-14 - 2014-09-20,52
2014-09-21 - 2014-09-27,55
2014-09-28 - 2014-10-04,56
2014-10-05 - 2014-10-11,50
2014-10-12 - 2014-10-18,51
2014-10-19 - 2014-10-25,52
2014-10-26 - 2014-11-01,49
2014-11-02 - 2014-11-08,50
2014-11-09 - 2014-11-15,47
2014-11-16 - 2014-11-22,49
2014-11-23 - 2014-11-29,48
2014-11-30 - 2014-12-06,48
2014-12-07 - 2014-12-13,44
2014-12-14 - 2014-12-20,40
2014-12-21 - 2014-12-27,29
2014-12-28 - 2015-01-03,43
2015-01-04 - 2015-01-10,58
2015-01-11 - 2015-01-17,59
2015-01-18 - 2015-01-24,59
2015-01-25 - 2015-01-31,58
2015-02-01 - 2015-02-07,58
2015-02-08 - 2015-02-14,54
2015-02-15 - 2015-02-21,58
2015-02-22 - 2015-02-28,53
2015-03-01 - 2015-03-07,55
2015-03-08 - 2015-03-14,54
2015-03-15 - 2015-03-21,54
2015-03-22 - 2015-03-28,49
2015-03-29 - 2015-04-04,43
2015-04-05 - 2015-04-11,48
2015-04-12 - 2015-04-18,52
2015-04-19 - 2015-04-25,50
2015-04-26 - 2015-05-02,48
2015-05-03 - 2015-05-09,50
2015-05-10 - 2015-05-16,51
2015-05-17 - 2015-05-23,53
2015-05-24 - 2015-05-30,50
2015-05-31 - 2015-06-06,47
2015-06-07 - 2015-06-13,53
2015-06-14 - 2015-06-20,53
2015-06-21 - 2015-06-27,55
2015-06-28 - 2015-07-04,62

Zainteresowanie w ujęciu czasowym
Tydzień,Rynek pracy,praca
2004-01-04 - 2004-01-10,+0%,+0%
2004-01-11 - 2004-01-17,+10%,+4%
2004-01-18 - 2004-01-24,+6%,+13%
2004-01-25 - 2004-01-31,+3%,+17%
2004-02-01 - 2004-02-07,+7%,+15%
2004-02-08 - 2004-02-14,-1%,+4%
2004-02-15 - 2004-02-21,+0%,+13%
2004-02-22 - 2004-02-28,+7%,+17%
2004-02-29 - 2004-03-06,+16%,+15%
2004-03-07 - 2004-03-13,+3%,-4%
2004-03-14 - 2004-03-20,+6%,+4%
2004-03-21 - 2004-03-27,-1%,-6%
2004-03-28 - 2004-04-03,-3%,-9%
2004-04-04 - 2004-04-10,-18%,-21%
2004-04-11 - 2004-04-17,+13%,+15%
2004-04-18 - 2004-04-24,+16%,+23%
2004-04-25 - 2004-05-01,+18%,+19%
2004-05-02 - 2004-05-08,+21%,+49%
2004-05-09 - 2004-05-15,+18%,+21%
2004-05-16 - 2004-05-22,+15%,+11%
2004-05-23 - 2004-05-29,+13%,+11%
2004-05-30 - 2004-06-05,+19%,+23%
2004-06-06 - 2004-06-12,+6%,+28%
2004-06-13 - 2004-06-19,+26%,+43%
2004-06-20 - 2004-06-26,+32%,+72%
2004-06-27 - 2004-07-03,+47%,+60%
2004-07-04 - 2004-07-10,+34%,+62%
2004-07-11 - 2004-07-17,+29%,+58%
2004-07-18 - 2004-07-24,+24%,+40%
2004-07-25 - 2004-07-31,+21%,+38%
2004-08-01 - 2004-08-07,+16%,+49%
2004-08-08 - 2004-08-14,+15%,+38%
2004-08-15 - 2004-08-21,+15%,+32%
2004-08-22 - 2004-08-28,+10%,+38%
2004-08-29 - 2004-09-04,+22%,+40%
2004-09-05 - 2004-09-11,+18%,+32%
2004-09-12 - 2004-09-18,+21%,+19%
2004-09-19 - 2004-09-25,+10%,+19%
2004-09-26 - 2004-10-02,+18%,+23%
2004-10-03 - 2004-10-09,+10%,+19%
2004-10-10 - 2004-10-16,+1%,+8%
2004-10-17 - 2004-10-23,+13%,+17%
2004-10-24 - 2004-10-30,+4%,+17%
2004-10-31 - 2004-11-06,+6%,+13%
2004-11-07 - 2004-11-13,-12%,-6%
2004-11-14 - 2004-11-20,+18%,+17%
2004-11-21 - 2004-11-27,-1%,-2%
2004-11-28 - 2004-12-04,+1%,+2%
2004-12-05 - 2004-12-11,-3%,-6%
2004-12-12 - 2004-12-18,-12%,-8%
2004-12-19 - 2004-12-25,-35%,-34%
2004-12-26 - 2005-01-01,-21%,-25%
2005-01-02 - 2005-01-08,+12%,+34%
2005-01-09 - 2005-01-15,+7%,+21%
2005-01-16 - 2005-01-22,+10%,+15%
2005-01-23 - 2005-01-29,+7%,+19%
2005-01-30 - 2005-02-05,+6%,+13%
2005-02-06 - 2005-02-12,+4%,+19%
2005-02-13 - 2005-02-19,+16%,+28%
2005-02-20 - 2005-02-26,+18%,+34%
2005-02-27 - 2005-03-05,+18%,+28%
2005-03-06 - 2005-03-12,+15%,+28%
2005-03-13 - 2005-03-19,+15%,+23%
2005-03-20 - 2005-03-26,+0%,+9%
2005-03-27 - 2005-04-02,+7%,+15%
2005-04-03 - 2005-04-09,-10%,-15%
2005-04-10 - 2005-04-16,+21%,+26%
2005-04-17 - 2005-04-23,+16%,+19%
2005-04-24 - 2005-04-30,+16%,+21%
2005-05-01 - 2005-05-07,+9%,+19%
2005-05-08 - 2005-05-14,+22%,+28%
2005-05-15 - 2005-05-21,+24%,+26%
2005-05-22 - 2005-05-28,+7%,+23%
2005-05-29 - 2005-06-04,+25%,+38%
2005-06-05 - 2005-06-11,+24%,+34%
2005-06-12 - 2005-06-18,+29%,+42%
2005-06-19 - 2005-06-25,+32%,+64%
2005-06-26 - 2005-07-02,+47%,+66%
2005-07-03 - 2005-07-09,+44%,+68%
2005-07-10 - 2005-07-16,+34%,+66%
2005-07-17 - 2005-07-23,+31%,+43%
2005-07-24 - 2005-07-30,+22%,+38%
2005-07-31 - 2005-08-06,+25%,+36%
2005-08-07 - 2005-08-13,+18%,+13%
2005-08-14 - 2005-08-20,+7%,+23%
2005-08-21 - 2005-08-27,+26%,+38%
2005-08-28 - 2005-09-03,+21%,+17%
2005-09-04 - 2005-09-10,+24%,+28%
2005-09-11 - 2005-09-17,+16%,+9%
2005-09-18 - 2005-09-24,+19%,+23%
2005-09-25 - 2005-10-01,+19%,+15%
2005-10-02 - 2005-10-08,+21%,+26%
2005-10-09 - 2005-10-15,+16%,+11%
2005-10-16 - 2005-10-22,+12%,+8%
2005-10-23 - 2005-10-29,+1%,+4%
2005-10-30 - 2005-11-05,+3%,+6%
2005-11-06 - 2005-11-12,-1%,+2%
2005-11-13 - 2005-11-19,+16%,+8%
2005-11-20 - 2005-11-26,+7%,+0%
2005-11-27 - 2005-12-03,+0%,-2%
2005-12-04 - 2005-12-10,+3%,-8%
2005-12-11 - 2005-12-17,-12%,-23%
2005-12-18 - 2005-12-24,-28%,-38%
2005-12-25 - 2005-12-31,-16%,-13%
2006-01-01 - 2006-01-07,+22%,+28%
2006-01-08 - 2006-01-14,+18%,+21%
2006-01-15 - 2006-01-21,+15%,+13%
2006-01-22 - 2006-01-28,+10%,+6%
2006-01-29 - 2006-02-04,+15%,+21%
2006-02-05 - 2006-02-11,+16%,+25%
2006-02-12 - 2006-02-18,+16%,+13%
2006-02-19 - 2006-02-25,+21%,+25%
2006-02-26 - 2006-03-04,+24%,+25%
2006-03-05 - 2006-03-11,+24%,+25%
2006-03-12 - 2006-03-18,+25%,+32%
2006-03-19 - 2006-03-25,+19%,+19%
2006-03-26 - 2006-04-01,+24%,+21%
2006-04-02 - 2006-04-08,+19%,+19%
2006-04-09 - 2006-04-15,+3%,+0%
2006-04-16 - 2006-04-22,+10%,+17%
2006-04-23 - 2006-04-29,+18%,+13%
2006-04-30 - 2006-05-06,+1%,+11%
2006-05-07 - 2006-05-13,+21%,+23%
2006-05-14 - 2006-05-20,+26%,+30%
2006-05-21 - 2006-05-27,+25%,+28%
2006-05-28 - 2006-06-03,+29%,+28%
